id,created_at,text,tweetlink
8.69869E+17,5/31/17 6:52,"NEC train #3705, the 6:31am from PSNY is delayed due to mechanical problems. An update will follow.",https://twitter.com/NJTRANSIT_NEC/status/869869204828176384
8.69709E+17,5/30/17 20:14,"NEC train #3965, the 7:49pm from PSNY, is up to 20 min. late due to earlier congestion.",https://twitter.com/NJTRANSIT_NEC/status/869708637261803520
8.69707E+17,5/30/17 20:08,Train service in/out of Penn Station New York is now operating on or close schedule with residual delays to trains already en-route.,https://twitter.com/NJTRANSIT_NEC/status/869707159730143233
8.69647E+17,5/30/17 16:11,"NEC train #3855, the 3:30pm from PSNY, departed NYPS up to 40 min. late due to an operational issue.",https://twitter.com/NJTRANSIT_NEC/status/869647470988492800
8.69647E+17,5/30/17 16:11,"NEC train #3857, the 3:42pm from PSNY, is up to 25 min. late, due to congestion from late trains ahead.",https://twitter.com/NJTRANSIT_NEC/status/869647459332608000
8.69642E+17,5/30/17 15:49,Elizabeth Station: Outbound (Westbound) Elevator Out of Service Temporarily for Repairs - Effective Immediately https://t.co/jFhI83Lpia,https://twitter.com/NJTRANSIT_NEC/status/869641935602012160
8.6964E+17,5/30/17 15:41,"NEC train #3855, the 3:30pm from PSNY is up to 15 min. late due to an operational issue. An update will follow.",https://twitter.com/NJTRANSIT_NEC/status/869639983346397184
8.69633E+17,5/30/17 15:13,"NEC train #3850, the 3:15pm PSNY arrival, is up to 10 min. late due to a signal problem.",https://twitter.com/NJTRANSIT_NEC/status/869632994042150912
8.69628E+17,5/30/17 14:53,"NEC train #3849, the 2:45pm from Linden, is up to 10 min. late due to an operational issue.",https://twitter.com/NJTRANSIT_NEC/status/869627955030446081
8.69627E+17,5/30/17 14:48,"Mexico vs. Ireland Soccer Match: NJ TRANSIT Offers Bus Service to MetLife Stadium - Thursday, June 1, 2017 https://t.co/ee2L2qqNCb",https://twitter.com/NJTRANSIT_NEC/status/869626695782936576
8.69585E+17,5/30/17 12:02,"Update: NEC train #3839, the 11:37am from PSNY departed 20 min late due to earlier operational issues.",https://twitter.com/NJTRANSIT_NEC/status/869584756987625472
8.69583E+17,5/30/17 11:55,"NEC train #3839, the 11:37am from PSNY is delayed due to operational issues. An update will follow.",https://twitter.com/NJTRANSIT_NEC/status/869583169225465857
8.69555E+17,5/30/17 10:05,Train service in/out of Penn Station New York is now operating on or close schedule with residual delays to trains already enroute.,https://twitter.com/NJTRANSIT_NEC/status/869555474760437761
8.69536E+17,5/30/17 8:47,(2 of 2) the speed restriction in place due to ongoing Amtrak track work and disabled LIRR trains.,https://twitter.com/NJTRANSIT_NEC/status/869535740807479297
8.69535E+17,5/30/17 8:45,(1 of 2) Trains in/out of PSNY is subject to up to 30 minute delays due to congestion caused by,https://twitter.com/NJTRANSIT_NEC/status/869535345565741056
8.69525E+17,5/30/17 8:02,Train service in/out of PSNY is subject to up to 30 minute delays due to congestion caused by the sp... https://t.co/eZoqbG2Z7W,https://twitter.com/NJTRANSIT_NEC/status/869524517730877441
8.69481E+17,5/30/17 5:08,"NEC train #3811, the 4:51am from PSNY was CANCELLED due to an operational issue. Customers may use train #3813, the 5:07am from PSNY.",https://twitter.com/NJTRANSIT_NEC/status/869480745080901632
8.68242E+17,5/26/17 19:06,"UPDATE:NEC train #3872, the 6:51pm from Princeton Jct. is up to 15 min. late, due to following a late train ahead.",https://twitter.com/NJTRANSIT_NEC/status/868242083286568960
8.68241E+17,5/26/17 19:02,"NEC train #3872, the 6:51pm from Princeton Jct. is currently stopped, due to a delayed Amtrak train ahead. An update will follow",https://twitter.com/NJTRANSIT_NEC/status/868240875910033408
8.68199E+17,5/26/17 16:15,"NEC train #3898, the 5:31pm from NYPS, is CANCELLED, due to operational issues.  Customers may use train #3868, the 6:02pm from NYPS.",https://twitter.com/NJTRANSIT_NEC/status/868198814653571072
8.6809E+17,5/26/17 9:03,"NEC train #3915, the 8:39am PSNY departure is up to 20 min. late due to earlier operational issues.",https://twitter.com/NJTRANSIT_NEC/status/868090123497467905
8.68077E+17,5/26/17 8:12,UPDATE: NEC train #3710 is operating on or close to schedule.,https://twitter.com/NJTRANSIT_NEC/status/868077453188763648
8.68067E+17,5/26/17 7:32,NEC train #3710 the 7:17am from Jersey Ave has not departed due to operational issues. An update will follow.,https://twitter.com/NJTRANSIT_NEC/status/868067262531608576
8.68051E+17,5/26/17 6:27,"UPDATE: NEC train #3703, the 6:04am from PSNY is up to 35 min. late due to earlier operational issues.",https://twitter.com/NJTRANSIT_NEC/status/868050944432492545
8.68048E+17,5/26/17 6:16,"NEC train #3703, the 6:04am from PSNY has not departed due to operational issues. An update will follow.",https://twitter.com/NJTRANSIT_NEC/status/868048070843486208
8.68045E+17,5/26/17 6:03,"NEC train #3708, the 6:52am from Jersey Ave is CANCELLED due to operational issues.",https://twitter.com/NJTRANSIT_NEC/status/868044863891177472
8.68036E+17,5/26/17 5:26,"NEC train #3701, the 5:41am from NYPS is Cancelled due to operational issues.",https://twitter.com/NJTRANSIT_NEC/status/868035626003816450
8.68033E+17,5/26/17 5:15,"NEC train #3806, the 5:06am from New Brunswick was CANCELLED due to mechanical problems. Customers t... https://t.co/eZoqbG2Z7W",https://twitter.com/NJTRANSIT_NEC/status/868032889698627585
8.67906E+17,5/25/17 20:52,"NEC train #3881, the 8:42pm from New Brunswick, is up to 10 min. late due to late train (#3965) ahead.",https://twitter.com/NJTRANSIT_NEC/status/867906287274790912
8.67895E+17,5/25/17 20:08,"NEC train #3965, the 7:49pm from PSNY, is up to 10 min. late due to an operational issue.",https://twitter.com/NJTRANSIT_NEC/status/867895136663023617
8.67886E+17,5/25/17 19:32,"Update2: NEC train #3868, the 7:11pm from Newark Penn Station, is now up to 25 min. late due to an earlier signal problem.",https://twitter.com/NJTRANSIT_NEC/status/867886054631763969
8.67876E+17,5/25/17 18:53,"NEC train #3868, 6:38pm from Metuchen, is up to 15 min. late due to a signal problem.",https://twitter.com/NJTRANSIT_NEC/status/867876215629242368
8.67814E+17,5/25/17 14:45,"NEC train #3855, the 3:30pm from PSNY, is CANCELLED due to an operational issue. Customers to train ... https://t.co/eZoqbG2Z7W",https://twitter.com/NJTRANSIT_NEC/status/867814003736707073
8.67793E+17,5/25/17 13:21,"NEC train #3844 the 1:02pm from Metro Park is up to 15 min. late, due to an earlier disabled train ahead.",https://twitter.com/NJTRANSIT_NEC/status/867792682604785664
8.67789E+17,5/25/17 13:07,"Correction: NEC train #3842, the 12:24pm from MetroPark is CANCELLED due to mechanical problems. Cus... https://t.co/eZoqbG2Z7W",https://twitter.com/NJTRANSIT_NEC/status/867789221725184000
8.67788E+17,5/25/17 13:04,"Update: NEC train #3842, the 12:24pm from MetroPark is up to 30 min. late due to earlier mechanical problems.",https://twitter.com/NJTRANSIT_NEC/status/867788388145000448
8.67785E+17,5/25/17 12:52,"NEC train #3842, the 12:24pm from MetroPark is delayed due to mechanical problems. An update will follow.",https://twitter.com/NJTRANSIT_NEC/status/867785398239604736
8.67735E+17,5/25/17 9:30,Train service in/out of Penn Station New York is now operating on or close schedule with residual delays to trains already enroute.,https://twitter.com/NJTRANSIT_NEC/status/867734680430399489
8.67728E+17,5/25/17 9:03,"NEC train #3936, the 9:21am from Trenton is Cancelled due to a mechanical problem. Customers to train #3832 the 9:12am from Trenton.",https://twitter.com/NJTRANSIT_NEC/status/867727897678761985
8.6772E+17,5/25/17 8:32,Train service in/out of PSNY is subject to up to 30 minute delays due to congestion caused by the sp... https://t.co/eZoqbG2Z7W,https://twitter.com/NJTRANSIT_NEC/status/867720113146953730
8.67486E+17,5/24/17 17:03,Train service in/out of PSNY is subject to up to 30 min. delays due to congestion caused by the spee... https://t.co/eZoqbG2Z7W,https://twitter.com/NJTRANSIT_NEC/status/867486225359405056
8.67313E+17,5/24/17 5:36,"NEC train #3811, the 4:51am from PSNY was CANCELLED due to an operational issue. Customers may use train #3813, the 5:07am from PSNY.",https://twitter.com/NJTRANSIT_NEC/status/867313426196033536
8.67178E+17,5/23/17 20:40,Train service in/out of Penn Station New York is now operating on or close to schedule with residual delays to trains already en-route.,https://twitter.com/NJTRANSIT_NEC/status/867178480231993345
8.67125E+17,5/23/17 17:07,"UPDATE: Train Service in/out of PSNY is subject to 30 min. delays, due to congestion caused by the s... https://t.co/eZoqbG2Z7W",https://twitter.com/NJTRANSIT_NEC/status/867124778775306241
8.67108E+17,5/23/17 16:00,"Train Service in/out of PSNY is subject up to 15 min. delays, due to congestion caused by the speed ... https://t.co/eZoqbG2Z7W",https://twitter.com/NJTRANSIT_NEC/status/867108010258202627
8.67034E+17,5/23/17 11:07,Final Update: Train service in/out of Penn Station New York is now operating on or close schedule wi... https://t.co/eZoqbG2Z7W,https://twitter.com/NJTRANSIT_NEC/status/867034185571205120
8.67026E+17,5/23/17 10:34,"UPDATE: NJT rail is no longer accepting PATH tickets/passes at Newark Penn Station, Hoboken and Penn Station New York.",https://twitter.com/NJTRANSIT_NEC/status/867026005906554883
8.67013E+17,5/23/17 9:42,"NJT rail will accept PATH tickets and passes at NPS, HOB and PSNY due to a medical emergency on Path.",https://twitter.com/NJTRANSIT_NEC/status/867012797342916612
8.66994E+17,5/23/17 8:29,(2 of 2) caused by the speed restriction in place due to expanded Amtrak Track work.,https://twitter.com/NJTRANSIT_NEC/status/866994409413517312
8.66994E+17,5/23/17 8:28,"(1 of 2) Train Service in/out of PSNY is subject up to 30 minute delays, earlier than usual, due to congestion",https://twitter.com/NJTRANSIT_NEC/status/866994177669779458
8.66979E+17,5/23/17 7:26,NEC train #3922 the 6:57am from Trenton has been cancelled due to mechanical problems. Customers may use #3924 the 7:12am from Trenton.,https://twitter.com/NJTRANSIT_NEC/status/866978739623780353
8.66978E+17,5/23/17 7:22,"(2 of 2) As a result, more of NJT trains to/from PSNY will experience delays during morning peak.",https://twitter.com/NJTRANSIT_NEC/status/866977595597959169
8.66977E+17,5/23/17 7:21,(1 of 2) Amtrak has disclosed they have taken another track out of service at PSNY due to their ongoing track repairs.,https://twitter.com/NJTRANSIT_NEC/status/866977324259999746
8.66808E+17,5/22/17 20:08,Train service in/out of PSNY is now operating on or close schedule with residual delays to trains already en-route.,https://twitter.com/NJTRANSIT_NEC/status/866807935984447492
8.6678E+17,5/22/17 18:17,"NEC train #3961, the 6:39pm from PSNY, is CANCELLED due to operational issues. Customers to train #3875, the 6:45pm from PSNY.",https://twitter.com/NJTRANSIT_NEC/status/866780098082607105
8.66709E+17,5/22/17 13:35,As of 1:19pm NJT is no longer accepting PATH tickets/passes at Newark and New York.,https://twitter.com/NJTRANSIT_NEC/status/866709024296902656
8.66688E+17,5/22/17 12:12,Update: NJT rail will accept PATH tickets and passes at NWK and PSNY due to Path signal problems at Hackensack River Bridge.,https://twitter.com/NJTRANSIT_NEC/status/866688129247436800
8.66679E+17,5/22/17 11:35,"NJT rail will accept PATH tickets and passes at NWK, HOB and PSNY due to Path signal problems at Hackensack River Bridge.",https://twitter.com/NJTRANSIT_NEC/status/866678814067367936
8.66655E+17,5/22/17 9:58,Train service in/out of Penn Station New York is now operating on or close schedule with residual delays to trains already enroute.,https://twitter.com/NJTRANSIT_NEC/status/866654607656747008
8.66633E+17,5/22/17 8:32,Train service in/out of PSNY is subject to up to 30 minute delays due to congestion caused by the sp... https://t.co/eZoqbG2Z7W,https://twitter.com/NJTRANSIT_NEC/status/866632868860186624
8.66621E+17,5/22/17 7:45,"NEC train #3930, the 8:11am from Trenton is CANCELLED due to an operational issue. Customers to train #3932, the 8:26am from Trenton.",https://twitter.com/NJTRANSIT_NEC/status/866620921632759808
8.66582E+17,5/22/17 5:09,"NEC train #3811, the 4:51am from PSNY was CANCELLED due to an operational issue. Customers may use train #3813, the 5:07am from PSNY.",https://twitter.com/NJTRANSIT_NEC/status/866581703506223104
8.66307E+17,5/21/17 10:56,"Newark International Airport: Beginning at 10 p.m. Saturday, May 20 and continuing until 12 p.m. Sun... https://t.co/eZoqbG2Z7W",https://twitter.com/NJTRANSIT_NEC/status/866306641695825920
8.66306E+17,5/21/17 10:55,"Due to on-going Amtrak track maintenance work and track inspections leading to speed restrictions, e... https://t.co/eZoqbG2Z7W",https://twitter.com/NJTRANSIT_NEC/status/866306406529601536
8.66016E+17,5/20/17 15:39,NEC train #7853 the 3:15pm from NYPS is up to 20 min. late due to an operational issue.,https://twitter.com/NJTRANSIT_NEC/status/866015645858746369
8.65731E+17,5/19/17 20:47,"Train 3883, the 8:07pm from NYPS, is CANCELLED due to an operational issue. Customers to train 3885,... https://t.co/eZoqbG2Z7W",https://twitter.com/NJTRANSIT_NEC/status/865730635775737856
8.6573E+17,5/19/17 20:43,"Train 3969, the 8:14pm from NYPS, is CANCELLED due to mechanical problems. Customers to train 3885, the 8:37pm from NYPS.",https://twitter.com/NJTRANSIT_NEC/status/865729732725354497
8.65726E+17,5/19/17 20:27,Train service in/out of Penn Station New York is now operating on or close schedule with residual delays to trains already en-route.,https://twitter.com/NJTRANSIT_NEC/status/865725511753924608
8.65711E+17,5/19/17 19:29,"NEC train #3883, the 8:07pm from NYPS, is CANCELLED, due to operational issues. Customers may use tr... https://t.co/eZoqbG2Z7W",https://twitter.com/NJTRANSIT_NEC/status/865710992025694208
8.65693E+17,5/19/17 18:17,"NEC train #3961, the 6:39pm from NYPS, is CANCELLED, due operational issue.  Customers may use #3875, the 6:47pm from NYPS.",https://twitter.com/NJTRANSIT_NEC/status/865693002827694081
8.65681E+17,5/19/17 17:30,"Train 3866, the 5:04pm from Trenton, is up to 30 min. late  due to an earlier disabled train ahead.",https://twitter.com/NJTRANSIT_NEC/status/865681202526670848
8.65679E+17,5/19/17 17:22,"Train #3864, the 4:44pm from Trenton is CANCELLED, due to an operational issue. Customers may use train #3866, the 5:04pm from Trenton.",https://twitter.com/NJTRANSIT_NEC/status/865678984536838144
8.65674E+17,5/19/17 17:00,"NEC train #3857, the 4:21pm from Rahway is CANCELLED, due to mechanical problems. Customers may use train 3861, the 5:11pm from Rahway.",https://twitter.com/NJTRANSIT_NEC/status/865673539734691841
8.65669E+17,5/19/17 16:42,"NEC train #3857, the 4:21pm from Rahway is being delayed, due to mechanical problems. An update will follow",https://twitter.com/NJTRANSIT_NEC/status/865668978097758209
8.65668E+17,5/19/17 16:39,"Train #3898 the 5:31pm from Trenton is CANCELLED due an operational issue. Customers to train #3868 the 6:02p, from Trenton.",https://twitter.com/NJTRANSIT_NEC/status/865668219146731520
8.6565E+17,5/19/17 15:26,UPDATE: NEC train #3849 the 2:51pm from Metropark is now up to 30 min. late due to earlier police assistance.,https://twitter.com/NJTRANSIT_NEC/status/865649770286653440
8.65648E+17,5/19/17 15:17,NEC train #3849 the 2:51pm from Metropark is up to 25 min. late due to police assistance. An update will follow.,https://twitter.com/NJTRANSIT_NEC/status/865647544218431488
