id,created_at,text,tweetlink,created_at_date,reason,train_line,blame
851564703721697281,2017-04-10 18:37:01,Trains in and out of PSNY are subject to up to 15 minute delays due Amtrak track condition with resulting congestion.,https://twitter.com/NJTRANSIT_RVL/status/851564703721697281,2017-04-10 18:37:01,due Amtrak track condition with resulting congestion,RVL,NJT late train
851504556815130624,2017-04-10 14:38:01,RVL train #5438 the 2:35pm from Westfield is up to 15 min. late due to programmed track maintenance.,https://twitter.com/NJTRANSIT_RVL/status/851504556815130624,2017-04-10 14:38:01,due to programmed track maintenance,RVL,
851496761013276675,2017-04-10 14:07:02,"RVL train #5127, the 1:56pm from SEC, is up to  10 min. late due to congestion resulting from an earlier Amtrak switch problem.",https://twitter.com/NJTRANSIT_RVL/status/851496761013276675,2017-04-10 14:07:02,due to congestion resulting from an earlier Amtrak switch problem,RVL,NJT switch problem
851489318619238400,2017-04-10 13:37:28,"RVL train #5176, the 1:21pm from Westfield is up to 15 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/851489318619238400,2017-04-10 13:37:28,due to track maintenance,RVL,
851478002315788288,2017-04-10 12:52:30,"RVL train #5134, the 12:34pm from Roselle Park is up to 20 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/851478002315788288,2017-04-10 12:52:30,due to track maintenance,RVL,
851447237444079616,2017-04-10 10:50:15,"RVL train #5170, the 10:35am from Union Station is up to 10 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/851447237444079616,2017-04-10 10:50:15,due to track maintenance,RVL,
850408525654261761,2017-04-07 14:02:46,"RVL train #5176, the 1:49pm from Newark Penn is up to 15 min. late, due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/850408525654261761,2017-04-07 14:02:46,due to track maintenance,RVL,
850386472746319877,2017-04-07 12:35:09,"RVL train #5123, the 12:25pm from Cranford is up to 15 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/850386472746319877,2017-04-07 12:35:09,due to track maintenance,RVL,
850356938605043712,2017-04-07 10:37:47,"RVL train #5170, the 10:26am from Cranford is up to 10 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/850356938605043712,2017-04-07 10:37:47,due to track maintenance,RVL,
850338830519590912,2017-04-07 09:25:50,1 of 2: NJ TRANSIT trains are operating with up to 20 minute delays into and out of New York due to ... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/850338830519590912,2017-04-07 09:25:50,due to ,RVL,
850307804644741120,2017-04-07 07:22:33,"3 of 3: As a precaution, NJT is advising customers that they may experience some delays and should g... https://t.co/xLShO9aIcS",https://twitter.com/NJTRANSIT_RVL/status/850307804644741120,2017-04-07 07:22:33,,RVL,
849967216556683264,2017-04-06 08:49:10,"RVL train #5902 the 8:38am from Fanwood is up to 10 min. late, due to earlier freight train congestion.",https://twitter.com/NJTRANSIT_RVL/status/849967216556683264,2017-04-06 08:49:10,due to earlier freight train congestion,RVL,NJT late train
849961380363075584,2017-04-06 08:25:59,"Raritan Valley Line train #5413, the 8:08am from Roselle Park is up to 20 min. late due to operational issues.",https://twitter.com/NJTRANSIT_RVL/status/849961380363075584,2017-04-06 08:25:59,due to operational issues,RVL,NJT operational issues
849686215968378881,2017-04-05 14:12:34,"RVL train #5175, the 1:59pm from Somerville is up to 10 min. late, due to programmed track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/849686215968378881,2017-04-05 14:12:34,due to programmed track maintenance,RVL,
849670664533495808,2017-04-05 13:10:47,"RVL train #5123, the 12:59pm from Somerville is up to 10 min. late, due to programmed track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/849670664533495808,2017-04-05 13:10:47,due to programmed track maintenance,RVL,
849653179922907136,2017-04-05 12:01:18,"RVL train #5121, the 11:49am from Bound Brook is up to 15 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/849653179922907136,2017-04-05 12:01:18,due to track maintenance,RVL,
849642185926561793,2017-04-05 11:17:37,"RVL train #5719, the 11:03am from Raritan is up to 15 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/849642185926561793,2017-04-05 11:17:37,due to track maintenance,RVL,
849387479350300674,2017-04-04 18:25:30,"RVL train #5737, the 6:12pm from Somerville, is up to 10 min. late due to an earlier late connection.",https://twitter.com/NJTRANSIT_RVL/status/849387479350300674,2017-04-04 18:25:30,due to an earlier late connection,RVL,NJT late train
849381651486527493,2017-04-04 18:02:21,"RVL train #5:51pm from Westfield, is up to 10 min. late due to an earlier late connection.",https://twitter.com/NJTRANSIT_RVL/status/849381651486527493,2017-04-04 18:02:21,due to an earlier late connection,RVL,NJT late train
849358983811018754,2017-04-04 16:32:16,"RVL train #5742, the 4:19pm from Union Station, is up to 15 min. late due to a late train ahead.",https://twitter.com/NJTRANSIT_RVL/status/849358983811018754,2017-04-04 16:32:16,due to a late train ahead,RVL,NJT late train
849357863709442049,2017-04-04 16:27:49,"RVL train #5431, the 4:20pm from Union Station, is up to 10 min. late due to an earlier late connection.",https://twitter.com/NJTRANSIT_RVL/status/849357863709442049,2017-04-04 16:27:49,due to an earlier late connection,RVL,NJT late train
848999433702432768,2017-04-03 16:43:33,Service is subject to 60-minute delays in both directions. 2 of 6,https://twitter.com/NJTRANSIT_RVL/status/848999433702432768,2017-04-03 16:43:33,,RVL,
848968591416467457,2017-04-03 14:40:59,RVL rail service remains suspended between Newark and New York. 4 of 6,https://twitter.com/NJTRANSIT_RVL/status/848968591416467457,2017-04-03 14:40:59,,RVL,
848968233722015745,2017-04-03 14:39:34,Trains in and out of HOB may be subject to up to 30-minute delays due to congestion caused by diverted MidTown Direct trains. 3 of 6,https://twitter.com/NJTRANSIT_RVL/status/848968233722015745,2017-04-03 14:39:34,due to congestion caused by diverted MidTown Direct trains,RVL,NJT late train
848967981564653569,2017-04-03 14:38:34,Service is subject to 30-minute delays in both directions. 2 of 6,https://twitter.com/NJTRANSIT_RVL/status/848967981564653569,2017-04-03 14:38:34,,RVL,
848888986596769792,2017-04-03 09:24:40,"(1of2)NEC, NJCL, RVL &amp; Midtown Direct is suspended in and out of NYPS due to a derailed NJ Transit t... https://t.co/xLShO9aIcS",https://twitter.com/NJTRANSIT_RVL/status/848888986596769792,2017-04-03 09:24:40,due to a derailed NJ Transit t,RVL,
847822729491488769,2017-03-31 10:47:45,"RVL train #5170, the 10:48am from NPS is up to 15 min. late due to operational issues.",https://twitter.com/NJTRANSIT_RVL/status/847822729491488769,2017-03-31 10:47:45,due to operational issues,RVL,NJT operational issues
847081610113638401,2017-03-29 09:42:48,"RVL train #5170 the 9:26am from Lebanon is up to 10 min. late, due to an operational issue.",https://twitter.com/NJTRANSIT_RVL/status/847081610113638401,2017-03-29 09:42:48,due to an operational issue,RVL,NJT operational issues
